n,Tiempo Recursión,Tiempo Recursión de Cola,Tiempo Iteración
10,1.955µs,4.26µs,3.353µs
50,2.864µs,14.807µs,2.863µs
70,9.079µs,2.933µs,2.794µs
80,29.613µs,4.679µs,2.444µs
90,120.476µs,4.819µs,3.842µs
100,649.803µs,6.286µs,3.352µs
120,4.469423ms,6.216µs,2.375µs
140,45.637928ms,8.451µs,1.886µs
160,609.927859ms,45.816µs,1.955µs
180,9.426091827s,9.498µs,4.819µs
200,2m24.466865524s,9.638µs,4.819µs
250,N/A,13.619µs,2.444µs
300,N/A,4.191µs,3.352µs
350,N/A,3.771µs,2.375µs
400,N/A,4.33µs,1.886µs
500,N/A,359.263µs,1.885µs
